,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
24,Denver,8.0,3.0,3.0,10.0,2.0,10.0,1.0,2.0,9.0,2.0,2.0,8.0,9.0,4.0,142.0,73.0,0.5140845070422535
25,Detroit,4.0,6.0,3.0,7.0,6.0,1.0,3.0,8.0,3.0,0.0,0.0,1.0,1.0,3.0,142.0,46.0,0.323943661971831
26,Fort Dix,4.0,10.0,0.0,2.0,4.0,7.0,9.0,1.0,4.0,1.0,1.0,6.0,7.0,10.0,142.0,66.0,0.4647887323943662
27,Harrisburg,1.0,7.0,4.0,3.0,0.0,3.0,10.0,2.0,2.0,1.0,5.0,1.0,1.0,9.0,142.0,49.0,0.34507042253521125
28,Indianapolis,7.0,4.0,8.0,1.0,2.0,7.0,8.0,6.0,2.0,10.0,3.0,1.0,5.0,0.0,142.0,64.0,0.4507042253521127
29,Kansas City,4.0,2.0,5.0,8.0,8.0,9.0,2.0,10.0,6.0,0.0,9.0,6.0,10.0,4.0,142.0,83.0,0.5845070422535211
30,Knoxville,2.0,7.0,4.0,7.0,4.0,10.0,6.0,1.0,3.0,5.0,2.0,6.0,5.0,5.0,142.0,67.0,0.47183098591549294
31,Lansing,9.0,5.0,10.0,9.0,2.0,0.0,7.0,0.0,5.0,2.0,1.0,2.0,10.0,4.0,142.0,66.0,0.4647887323943662
32,Louisville,3.0,6.0,1.0,4.0,5.0,0.0,10.0,2.0,10.0,4.0,3.0,3.0,10.0,7.0,142.0,68.0,0.4788732394366197
33,Milwaukee,3.0,5.0,3.0,4.0,7.0,5.0,10.0,5.0,9.0,1.0,6.0,4.0,3.0,6.0,142.0,71.0,0.5
34,Minneapolis,10.0,7.0,5.0,5.0,3.0,7.0,5.0,2.0,3.0,7.0,7.0,5.0,9.0,8.0,142.0,83.0,0.5845070422535211
35,Nashville,7.0,5.0,2.0,1.0,4.0,0.0,8.0,0.0,9.0,6.0,4.0,0.0,5.0,5.0,142.0,56.0,0.39436619718309857
36,New Orleans,5.0,2.0,3.0,8.0,2.0,0.0,9.0,10.0,3.0,6.0,10.0,10.0,9.0,5.0,142.0,82.0,0.5774647887323944
37,Oklahoma City,2.0,9.0,10.0,9.0,4.0,5.0,1.0,4.0,10.0,8.0,4.0,5.0,9.0,4.0,142.0,84.0,0.5915492957746479
38,Pittsburgh,5.0,5.0,7.0,7.0,2.0,10.0,7.0,10.0,9.0,5.0,10.0,10.0,3.0,2.0,142.0,92.0,0.647887323943662
39,Portland OR,10.0,9.0,0.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,7.0,6.0,4.0,0.0,142.0,69.0,0.4859154929577465
40,Salt Lake City,2.0,3.0,5.0,1.0,4.0,10.0,5.0,8.0,6.0,2.0,7.0,5.0,7.0,8.0,142.0,73.0,0.5140845070422535
41,Seattle,7.0,3.0,4.0,9.0,7.0,4.0,6.0,6.0,3.0,10.0,0.0,10.0,1.0,1.0,142.0,71.0,0.5
42,Springfield,3.0,3.0,3.0,7.0,8.0,10.0,1.0,5.0,6.0,7.0,6.0,2.0,9.0,9.0,142.0,79.0,0.5563380281690141
43,Albany,0.0,2.0,9.0,7.0,10.0,4.0,0.0,8.0,4.0,1.0,3.0,3.0,2.0,0.0,142.0,53.0,0.3732394366197183
44,Albuquerque,6.0,9.0,0.0,0.0,4.0,8.0,6.0,3.0,0.0,2.0,10.0,4.0,9.0,5.0,142.0,66.0,0.4647887323943662
45,Amarillo,9.0,5.0,3.0,2.0,6.0,3.0,1.0,0.0,9.0,4.0,9.0,0.0,4.0,4.0,142.0,59.0,0.4154929577464789
46,Anchorage,7.0,10.0,3.0,10.0,5.0,8.0,2.0,6.0,3.0,5.0,1.0,0.0,7.0,4.0,142.0,71.0,0.5
47,Beckley,10.0,3.0,2.0,8.0,9.0,5.0,1.0,4.0,6.0,9.0,8.0,2.0,1.0,8.0,142.0,76.0,0.5352112676056338
48,Boise,9.0,7.0,0.0,2.0,3.0,1.0,9.0,9.0,7.0,8.0,8.0,2.0,10.0,1.0,142.0,76.0,0.5352112676056338
49,Buffalo,9.0,5.0,4.0,8.0,5.0,5.0,3.0,0.0,7.0,2.0,7.0,0.0,5.0,0.0,142.0,60.0,0.4225352112676056
50,Butte,3.0,6.0,9.0,2.0,2.0,10.0,5.0,4.0,1.0,8.0,3.0,9.0,10.0,9.0,142.0,81.0,0.5704225352112676
51,Des Moines,7.0,4.0,4.0,7.0,8.0,6.0,10.0,2.0,6.0,3.0,7.0,8.0,4.0,7.0,142.0,83.0,0.5845070422535211
52,El Paso,2.0,0.0,4.0,1.0,5.0,0.0,1.0,5.0,6.0,2.0,0.0,2.0,5.0,8.0,142.0,41.0,0.2887323943661972
53,Fargo,3.0,8.0,5.0,7.0,4.0,4.0,9.0,7.0,4.0,5.0,6.0,9.0,3.0,3.0,142.0,77.0,0.5422535211267606
54,Honolulu,6.0,9.0,6.0,1.0,9.0,2.0,8.0,10.0,2.0,3.0,2.0,2.0,3.0,2.0,142.0,65.0,0.45774647887323944
55,Jackson,1.0,4.0,5.0,9.0,9.0,10.0,0.0,8.0,2.0,6.0,6.0,0.0,8.0,4.0,142.0,72.0,0.5070422535211268
56,Little Rock,1.0,0.0,3.0,3.0,2.0,2.0,8.0,5.0,3.0,7.0,7.0,0.0,5.0,1.0,142.0,47.0,0.33098591549295775
57,Memphis,9.0,0.0,7.0,0.0,9.0,3.0,8.0,7.0,0.0,9.0,7.0,2.0,4.0,10.0,142.0,75.0,0.528169014084507
58,Omaha,1.0,8.0,6.0,10.0,0.0,7.0,8.0,1.0,7.0,1.0,9.0,10.0,9.0,2.0,142.0,79.0,0.5563380281690141
59,Portland ME,0.0,2.0,4.0,0.0,1.0,6.0,0.0,5.0,3.0,4.0,6.0,2.0,5.0,4.0,142.0,42.0,0.29577464788732394
60,San Juan,3.0,10.0,3.0,2.0,5.0,7.0,5.0,1.0,3.0,5.0,1.0,1.0,9.0,5.0,142.0,60.0,0.4225352112676056
61,Shreveport,4.0,3.0,10.0,5.0,8.0,2.0,2.0,2.0,0.0,8.0,0.0,1.0,6.0,2.0,142.0,53.0,0.3732394366197183
62,Sioux Falls,0.0,3.0,2.0,0.0,3.0,9.0,4.0,7.0,5.0,2.0,4.0,10.0,9.0,7.0,142.0,65.0,0.45774647887323944
63,Spokane,9.0,8.0,8.0,9.0,4.0,5.0,7.0,6.0,1.0,1.0,7.0,1.0,8.0,8.0,142.0,82.0,0.5774647887323944
64,Syracuse,3.0,6.0,6.0,8.0,4.0,8.0,4.0,10.0,0.0,0.0,7.0,7.0,1.0,1.0,142.0,65.0,0.45774647887323944
