,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
26,Fort Dix,0.0,8.0,8.0,0.0,1.0,7.0,2.0,5.0,3.0,3.0,2.0,9.0,1.0,8.0,142.0,57.0,0.4014084507042254
27,Harrisburg,6.0,3.0,7.0,1.0,7.0,6.0,6.0,4.0,2.0,0.0,5.0,0.0,3.0,9.0,142.0,59.0,0.4154929577464789
28,Indianapolis,1.0,7.0,0.0,6.0,2.0,4.0,6.0,7.0,0.0,9.0,8.0,1.0,10.0,4.0,142.0,65.0,0.45774647887323944
29,Kansas City,3.0,6.0,4.0,9.0,0.0,6.0,9.0,9.0,4.0,5.0,0.0,5.0,2.0,9.0,142.0,71.0,0.5
30,Knoxville,8.0,0.0,4.0,1.0,3.0,0.0,2.0,5.0,5.0,7.0,0.0,2.0,6.0,10.0,142.0,53.0,0.3732394366197183
31,Lansing,8.0,6.0,9.0,7.0,9.0,1.0,3.0,7.0,6.0,1.0,0.0,0.0,3.0,3.0,142.0,63.0,0.44366197183098594
32,Louisville,8.0,1.0,5.0,7.0,10.0,6.0,2.0,3.0,9.0,7.0,7.0,10.0,10.0,0.0,142.0,85.0,0.5985915492957746
33,Milwaukee,2.0,7.0,7.0,9.0,4.0,3.0,4.0,1.0,7.0,8.0,4.0,3.0,3.0,8.0,142.0,70.0,0.49295774647887325
34,Minneapolis,4.0,3.0,3.0,9.0,9.0,3.0,8.0,1.0,5.0,5.0,5.0,7.0,6.0,2.0,142.0,70.0,0.49295774647887325
35,Nashville,0.0,5.0,0.0,4.0,5.0,9.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,3.0,142.0,47.0,0.33098591549295775
36,New Orleans,10.0,6.0,3.0,9.0,7.0,5.0,5.0,7.0,0.0,3.0,1.0,1.0,7.0,3.0,142.0,67.0,0.47183098591549294
37,Oklahoma City,10.0,0.0,8.0,0.0,0.0,5.0,10.0,6.0,4.0,2.0,2.0,10.0,3.0,3.0,142.0,63.0,0.44366197183098594
38,Pittsburgh,3.0,10.0,5.0,1.0,1.0,2.0,7.0,2.0,0.0,5.0,5.0,2.0,7.0,2.0,142.0,52.0,0.36619718309859156
39,Portland OR,5.0,0.0,0.0,3.0,1.0,8.0,2.0,3.0,10.0,8.0,9.0,4.0,4.0,1.0,142.0,58.0,0.4084507042253521
40,Salt Lake City,2.0,8.0,10.0,6.0,0.0,8.0,4.0,6.0,2.0,0.0,7.0,6.0,1.0,2.0,142.0,62.0,0.43661971830985913
41,Seattle,3.0,2.0,4.0,7.0,7.0,5.0,2.0,8.0,7.0,0.0,7.0,4.0,0.0,7.0,142.0,63.0,0.44366197183098594
42,Springfield,3.0,5.0,7.0,8.0,6.0,6.0,2.0,0.0,10.0,9.0,6.0,2.0,6.0,3.0,142.0,73.0,0.5140845070422535
43,Albany,4.0,3.0,7.0,1.0,5.0,7.0,4.0,0.0,6.0,0.0,9.0,7.0,9.0,1.0,142.0,63.0,0.44366197183098594
44,Albuquerque,5.0,2.0,9.0,5.0,8.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,10.0,0.0,142.0,55.0,0.3873239436619718
45,Amarillo,10.0,9.0,2.0,10.0,2.0,3.0,0.0,3.0,10.0,5.0,2.0,2.0,0.0,3.0,142.0,61.0,0.4295774647887324
46,Anchorage,4.0,9.0,0.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,8.0,6.0,5.0,0.0,142.0,59.0,0.4154929577464789
47,Beckley,8.0,3.0,8.0,1.0,5.0,6.0,0.0,0.0,10.0,2.0,3.0,0.0,2.0,10.0,142.0,58.0,0.4084507042253521
48,Boise,9.0,8.0,3.0,2.0,5.0,1.0,6.0,0.0,9.0,2.0,4.0,6.0,10.0,8.0,142.0,73.0,0.5140845070422535
49,Buffalo,6.0,4.0,2.0,4.0,9.0,1.0,1.0,5.0,9.0,1.0,5.0,0.0,2.0,8.0,142.0,57.0,0.4014084507042254
50,Butte,7.0,4.0,6.0,1.0,7.0,0.0,2.0,9.0,10.0,8.0,9.0,3.0,0.0,2.0,142.0,68.0,0.4788732394366197
51,Des Moines,5.0,4.0,10.0,4.0,10.0,1.0,0.0,2.0,2.0,4.0,5.0,10.0,5.0,5.0,142.0,67.0,0.47183098591549294
52,El Paso,6.0,7.0,9.0,0.0,3.0,3.0,3.0,3.0,9.0,0.0,8.0,2.0,2.0,1.0,142.0,56.0,0.39436619718309857
53,Fargo,0.0,10.0,5.0,8.0,10.0,4.0,10.0,3.0,2.0,6.0,1.0,3.0,3.0,6.0,142.0,71.0,0.5
54,Honolulu,7.0,3.0,4.0,1.0,0.0,0.0,6.0,9.0,10.0,7.0,6.0,3.0,5.0,8.0,142.0,69.0,0.4859154929577465
55,Jackson,8.0,5.0,0.0,5.0,0.0,3.0,3.0,0.0,7.0,7.0,6.0,2.0,6.0,5.0,142.0,57.0,0.4014084507042254
56,Little Rock,7.0,7.0,4.0,3.0,8.0,8.0,4.0,1.0,8.0,6.0,5.0,1.0,7.0,5.0,142.0,74.0,0.5211267605633803
57,Memphis,9.0,3.0,10.0,10.0,1.0,6.0,1.0,10.0,10.0,10.0,0.0,3.0,2.0,5.0,142.0,80.0,0.5633802816901409
58,Omaha,6.0,6.0,7.0,2.0,10.0,4.0,10.0,5.0,6.0,0.0,0.0,0.0,2.0,6.0,142.0,64.0,0.4507042253521127
59,Portland ME,10.0,9.0,4.0,4.0,4.0,5.0,0.0,8.0,3.0,10.0,4.0,0.0,8.0,7.0,142.0,76.0,0.5352112676056338
60,San Juan,1.0,2.0,5.0,9.0,0.0,1.0,5.0,0.0,7.0,5.0,9.0,7.0,1.0,9.0,142.0,61.0,0.4295774647887324
61,Shreveport,8.0,0.0,1.0,10.0,7.0,0.0,2.0,0.0,10.0,0.0,2.0,3.0,6.0,9.0,142.0,58.0,0.4084507042253521
62,Sioux Falls,8.0,1.0,8.0,1.0,8.0,2.0,4.0,8.0,3.0,2.0,0.0,5.0,0.0,7.0,142.0,57.0,0.4014084507042254
63,Spokane,8.0,1.0,4.0,2.0,0.0,2.0,10.0,3.0,6.0,3.0,6.0,3.0,3.0,2.0,142.0,53.0,0.3732394366197183
64,Syracuse,8.0,9.0,9.0,6.0,5.0,4.0,2.0,1.0,0.0,9.0,3.0,3.0,2.0,7.0,142.0,68.0,0.4788732394366197
