,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
30,Knoxville,1.0,10.0,3.0,7.0,9.0,2.0,9.0,6.0,6.0,0.0,0.0,2.0,5.0,9.0,142.0,69.0,0.4859154929577465
31,Lansing,10.0,7.0,5.0,1.0,7.0,0.0,5.0,8.0,1.0,7.0,1.0,6.0,6.0,8.0,142.0,72.0,0.5070422535211268
32,Louisville,9.0,10.0,5.0,6.0,4.0,6.0,1.0,9.0,3.0,4.0,4.0,5.0,3.0,10.0,142.0,79.0,0.5563380281690141
33,Milwaukee,4.0,9.0,7.0,2.0,10.0,3.0,4.0,1.0,10.0,7.0,8.0,9.0,7.0,6.0,142.0,87.0,0.6126760563380281
34,Minneapolis,7.0,5.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,9.0,7.0,8.0,10.0,10.0,142.0,74.0,0.5211267605633803
35,Nashville,3.0,6.0,8.0,9.0,8.0,4.0,3.0,7.0,7.0,10.0,7.0,10.0,1.0,1.0,142.0,84.0,0.5915492957746479
36,New Orleans,5.0,9.0,8.0,10.0,7.0,10.0,4.0,1.0,9.0,5.0,9.0,4.0,1.0,3.0,142.0,85.0,0.5985915492957746
37,Oklahoma City,2.0,8.0,5.0,9.0,8.0,3.0,10.0,3.0,0.0,1.0,3.0,10.0,8.0,5.0,142.0,75.0,0.528169014084507
38,Pittsburgh,6.0,5.0,10.0,3.0,6.0,4.0,2.0,3.0,3.0,3.0,10.0,1.0,6.0,8.0,142.0,70.0,0.49295774647887325
39,Portland OR,1.0,7.0,1.0,10.0,0.0,4.0,9.0,4.0,9.0,7.0,2.0,3.0,5.0,7.0,142.0,69.0,0.4859154929577465
40,Salt Lake City,10.0,5.0,8.0,6.0,0.0,4.0,0.0,6.0,5.0,9.0,8.0,2.0,6.0,1.0,142.0,70.0,0.49295774647887325
41,Seattle,1.0,6.0,8.0,0.0,2.0,4.0,8.0,4.0,4.0,3.0,6.0,2.0,8.0,5.0,142.0,61.0,0.4295774647887324
42,Springfield,5.0,1.0,3.0,0.0,9.0,10.0,10.0,0.0,2.0,1.0,0.0,6.0,9.0,9.0,142.0,65.0,0.45774647887323944
43,Albany,1.0,5.0,6.0,6.0,8.0,0.0,9.0,7.0,4.0,0.0,6.0,3.0,5.0,1.0,142.0,61.0,0.4295774647887324
44,Albuquerque,10.0,3.0,2.0,7.0,6.0,0.0,10.0,10.0,10.0,3.0,7.0,8.0,10.0,4.0,142.0,90.0,0.6338028169014085
45,Amarillo,4.0,4.0,0.0,3.0,5.0,6.0,1.0,4.0,6.0,6.0,7.0,7.0,0.0,10.0,142.0,63.0,0.44366197183098594
46,Anchorage,4.0,4.0,6.0,5.0,1.0,4.0,9.0,10.0,10.0,5.0,8.0,4.0,9.0,7.0,142.0,86.0,0.6056338028169014
47,Beckley,5.0,9.0,10.0,5.0,7.0,5.0,7.0,8.0,10.0,1.0,8.0,8.0,7.0,10.0,142.0,100.0,0.704225352112676
48,Boise,9.0,3.0,8.0,9.0,6.0,8.0,6.0,3.0,4.0,4.0,1.0,8.0,2.0,0.0,142.0,71.0,0.5
49,Buffalo,3.0,9.0,9.0,10.0,2.0,9.0,3.0,7.0,1.0,1.0,1.0,4.0,9.0,0.0,142.0,68.0,0.4788732394366197
50,Butte,8.0,3.0,2.0,8.0,5.0,10.0,4.0,10.0,8.0,6.0,4.0,3.0,1.0,9.0,142.0,81.0,0.5704225352112676
51,Des Moines,5.0,10.0,6.0,9.0,9.0,1.0,0.0,10.0,2.0,0.0,6.0,9.0,1.0,10.0,142.0,78.0,0.5492957746478874
52,El Paso,1.0,2.0,7.0,4.0,0.0,2.0,7.0,7.0,8.0,5.0,2.0,5.0,4.0,5.0,142.0,59.0,0.4154929577464789
53,Fargo,5.0,0.0,7.0,9.0,2.0,3.0,10.0,2.0,9.0,4.0,6.0,0.0,2.0,10.0,142.0,69.0,0.4859154929577465
54,Honolulu,3.0,10.0,4.0,0.0,3.0,5.0,4.0,2.0,10.0,3.0,4.0,10.0,7.0,6.0,142.0,71.0,0.5
55,Jackson,2.0,5.0,4.0,1.0,3.0,1.0,7.0,6.0,4.0,6.0,9.0,4.0,6.0,6.0,142.0,64.0,0.4507042253521127
56,Little Rock,8.0,1.0,6.0,10.0,10.0,10.0,10.0,0.0,3.0,5.0,4.0,2.0,0.0,2.0,142.0,71.0,0.5
57,Memphis,4.0,5.0,2.0,9.0,4.0,4.0,10.0,10.0,6.0,9.0,2.0,4.0,1.0,7.0,142.0,77.0,0.5422535211267606
58,Omaha,7.0,9.0,4.0,5.0,3.0,9.0,5.0,1.0,6.0,3.0,2.0,3.0,10.0,10.0,142.0,77.0,0.5422535211267606
59,Portland ME,0.0,1.0,10.0,1.0,4.0,10.0,3.0,3.0,10.0,1.0,2.0,6.0,0.0,9.0,142.0,60.0,0.4225352112676056
60,San Juan,1.0,0.0,8.0,6.0,6.0,2.0,10.0,2.0,9.0,5.0,4.0,0.0,2.0,8.0,142.0,63.0,0.44366197183098594
61,Shreveport,4.0,3.0,8.0,9.0,2.0,8.0,5.0,3.0,2.0,7.0,1.0,5.0,4.0,1.0,142.0,62.0,0.43661971830985913
62,Sioux Falls,3.0,6.0,1.0,7.0,9.0,6.0,3.0,3.0,1.0,10.0,0.0,3.0,5.0,9.0,142.0,66.0,0.4647887323943662
63,Spokane,5.0,4.0,8.0,10.0,8.0,10.0,6.0,0.0,2.0,0.0,4.0,6.0,3.0,10.0,142.0,76.0,0.5352112676056338
64,Syracuse,10.0,1.0,3.0,10.0,4.0,0.0,2.0,8.0,8.0,7.0,7.0,7.0,10.0,0.0,142.0,77.0,0.5422535211267606
