,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
15,Sacramento,4.0,2.0,10.0,4.0,6.0,8.0,2.0,5.0,2.0,9.0,5.0,3.0,2.0,0.0,142.0,62.0,0.43661971830985913
16,San Antonio,5.0,4.0,6.0,2.0,9.0,3.0,2.0,10.0,3.0,7.0,6.0,8.0,9.0,6.0,142.0,80.0,0.5633802816901409
17,San Diego,9.0,8.0,6.0,8.0,4.0,5.0,7.0,0.0,4.0,1.0,4.0,3.0,8.0,9.0,142.0,76.0,0.5352112676056338
18,San Jose,1.0,4.0,9.0,1.0,5.0,0.0,10.0,0.0,1.0,2.0,10.0,10.0,10.0,0.0,142.0,63.0,0.44366197183098594
19,St Louis,4.0,5.0,10.0,10.0,8.0,6.0,5.0,10.0,7.0,2.0,4.0,0.0,2.0,3.0,142.0,76.0,0.5352112676056338
20,Tampa,3.0,3.0,5.0,10.0,0.0,0.0,7.0,4.0,1.0,7.0,8.0,1.0,4.0,8.0,142.0,61.0,0.4295774647887324
21,Boston,9.0,8.0,9.0,6.0,0.0,0.0,8.0,1.0,10.0,7.0,0.0,4.0,0.0,0.0,142.0,62.0,0.43661971830985913
22,Charlotte,1.0,2.0,9.0,5.0,6.0,10.0,8.0,1.0,8.0,10.0,2.0,4.0,0.0,8.0,142.0,74.0,0.5211267605633803
23,Cleveland,8.0,9.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,0.0,6.0,1.0,5.0,6.0,142.0,64.0,0.4507042253521127
24,Denver,0.0,7.0,4.0,1.0,2.0,8.0,4.0,9.0,7.0,0.0,9.0,4.0,6.0,4.0,142.0,65.0,0.45774647887323944
25,Detroit,7.0,0.0,4.0,3.0,10.0,9.0,9.0,6.0,4.0,9.0,6.0,0.0,7.0,0.0,142.0,74.0,0.5211267605633803
26,Fort Dix,4.0,10.0,6.0,0.0,10.0,10.0,10.0,9.0,8.0,0.0,1.0,8.0,7.0,5.0,142.0,88.0,0.6197183098591549
27,Harrisburg,1.0,6.0,5.0,6.0,10.0,2.0,8.0,2.0,1.0,2.0,0.0,6.0,8.0,2.0,142.0,59.0,0.4154929577464789
28,Indianapolis,9.0,8.0,1.0,3.0,3.0,8.0,1.0,5.0,8.0,10.0,2.0,1.0,9.0,10.0,142.0,78.0,0.5492957746478874
29,Kansas City,0.0,6.0,7.0,0.0,7.0,8.0,4.0,4.0,3.0,0.0,6.0,10.0,1.0,1.0,142.0,57.0,0.4014084507042254
30,Knoxville,2.0,9.0,1.0,2.0,4.0,10.0,5.0,0.0,2.0,6.0,2.0,5.0,8.0,2.0,142.0,58.0,0.4084507042253521
31,Lansing,1.0,10.0,8.0,2.0,9.0,5.0,8.0,0.0,1.0,10.0,10.0,7.0,10.0,0.0,142.0,81.0,0.5704225352112676
32,Louisville,7.0,5.0,1.0,10.0,3.0,7.0,0.0,8.0,4.0,10.0,1.0,1.0,9.0,8.0,142.0,74.0,0.5211267605633803
33,Milwaukee,1.0,5.0,9.0,1.0,0.0,5.0,2.0,8.0,1.0,2.0,9.0,0.0,6.0,8.0,142.0,57.0,0.4014084507042254
34,Minneapolis,4.0,1.0,5.0,9.0,10.0,5.0,7.0,4.0,4.0,3.0,0.0,10.0,8.0,10.0,142.0,80.0,0.5633802816901409
35,Nashville,7.0,4.0,9.0,7.0,4.0,4.0,10.0,9.0,3.0,7.0,7.0,3.0,7.0,8.0,142.0,89.0,0.6267605633802817
36,New Orleans,1.0,0.0,3.0,7.0,3.0,8.0,10.0,1.0,3.0,10.0,5.0,0.0,7.0,0.0,142.0,58.0,0.4084507042253521
37,Oklahoma City,7.0,8.0,9.0,7.0,10.0,3.0,7.0,9.0,8.0,4.0,9.0,2.0,9.0,6.0,142.0,98.0,0.6901408450704225
38,Pittsburgh,3.0,10.0,0.0,3.0,5.0,9.0,0.0,7.0,3.0,2.0,0.0,0.0,6.0,2.0,142.0,50.0,0.352112676056338
39,Portland OR,3.0,4.0,2.0,2.0,5.0,6.0,10.0,6.0,9.0,10.0,9.0,5.0,5.0,1.0,142.0,77.0,0.5422535211267606
40,Salt Lake City,1.0,10.0,2.0,10.0,5.0,6.0,1.0,6.0,10.0,3.0,1.0,8.0,7.0,2.0,142.0,72.0,0.5070422535211268
41,Seattle,1.0,9.0,1.0,7.0,1.0,8.0,3.0,1.0,0.0,2.0,7.0,10.0,3.0,7.0,142.0,60.0,0.4225352112676056
42,Springfield,9.0,8.0,7.0,2.0,8.0,6.0,7.0,4.0,2.0,0.0,4.0,10.0,0.0,6.0,142.0,73.0,0.5140845070422535
43,Albany,10.0,1.0,3.0,2.0,4.0,3.0,8.0,7.0,0.0,1.0,3.0,5.0,2.0,4.0,142.0,53.0,0.3732394366197183
44,Albuquerque,8.0,7.0,8.0,7.0,10.0,10.0,3.0,10.0,6.0,10.0,9.0,2.0,3.0,10.0,142.0,103.0,0.7253521126760564
45,Amarillo,9.0,9.0,1.0,4.0,10.0,8.0,3.0,1.0,8.0,8.0,3.0,0.0,4.0,7.0,142.0,75.0,0.528169014084507
46,Anchorage,2.0,5.0,2.0,9.0,10.0,10.0,4.0,4.0,7.0,0.0,6.0,7.0,0.0,6.0,142.0,72.0,0.5070422535211268
47,Beckley,9.0,10.0,0.0,5.0,4.0,1.0,8.0,0.0,10.0,8.0,1.0,8.0,10.0,4.0,142.0,78.0,0.5492957746478874
48,Boise,2.0,6.0,3.0,2.0,6.0,6.0,4.0,0.0,10.0,8.0,6.0,9.0,7.0,10.0,142.0,79.0,0.5563380281690141
49,Buffalo,10.0,2.0,0.0,4.0,7.0,10.0,7.0,4.0,0.0,7.0,7.0,10.0,4.0,7.0,142.0,79.0,0.5563380281690141
50,Butte,6.0,2.0,6.0,2.0,0.0,6.0,5.0,3.0,10.0,9.0,9.0,8.0,1.0,9.0,142.0,76.0,0.5352112676056338
51,Des Moines,6.0,0.0,9.0,2.0,10.0,3.0,3.0,9.0,10.0,5.0,6.0,8.0,7.0,1.0,142.0,79.0,0.5563380281690141
52,El Paso,8.0,7.0,10.0,0.0,3.0,6.0,6.0,9.0,5.0,2.0,1.0,2.0,5.0,0.0,142.0,64.0,0.4507042253521127
53,Fargo,2.0,7.0,0.0,8.0,3.0,8.0,10.0,10.0,5.0,10.0,5.0,8.0,1.0,6.0,142.0,83.0,0.5845070422535211
54,Honolulu,10.0,5.0,4.0,8.0,0.0,9.0,0.0,7.0,6.0,10.0,2.0,10.0,1.0,8.0,142.0,80.0,0.5633802816901409
55,Jackson,6.0,10.0,3.0,7.0,10.0,5.0,0.0,4.0,5.0,10.0,5.0,9.0,4.0,3.0,142.0,81.0,0.5704225352112676
56,Little Rock,7.0,10.0,8.0,9.0,10.0,2.0,10.0,8.0,2.0,5.0,7.0,0.0,4.0,1.0,142.0,83.0,0.5845070422535211
57,Memphis,8.0,7.0,0.0,8.0,1.0,10.0,8.0,9.0,1.0,3.0,2.0,8.0,2.0,1.0,142.0,68.0,0.4788732394366197
58,Omaha,9.0,1.0,5.0,3.0,8.0,10.0,5.0,10.0,4.0,3.0,4.0,3.0,3.0,6.0,142.0,74.0,0.5211267605633803
59,Portland ME,0.0,0.0,8.0,10.0,5.0,4.0,1.0,9.0,4.0,10.0,7.0,6.0,9.0,10.0,142.0,83.0,0.5845070422535211
60,San Juan,7.0,4.0,10.0,1.0,4.0,9.0,4.0,4.0,10.0,2.0,5.0,9.0,10.0,8.0,142.0,87.0,0.6126760563380281
61,Shreveport,0.0,9.0,3.0,0.0,10.0,10.0,1.0,5.0,10.0,9.0,3.0,8.0,2.0,6.0,142.0,76.0,0.5352112676056338
62,Sioux Falls,2.0,0.0,5.0,10.0,4.0,8.0,7.0,10.0,2.0,4.0,1.0,2.0,2.0,0.0,142.0,57.0,0.4014084507042254
63,Spokane,2.0,0.0,2.0,5.0,7.0,0.0,8.0,10.0,1.0,3.0,7.0,0.0,10.0,6.0,142.0,61.0,0.4295774647887324
64,Syracuse,7.0,9.0,3.0,9.0,1.0,9.0,9.0,3.0,0.0,10.0,2.0,1.0,6.0,10.0,142.0,79.0,0.5563380281690141
