,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
20,Tampa,4.0,1.0,7.0,1.0,4.0,10.0,5.0,3.0,8.0,5.0,8.0,7.0,10.0,0.0,142.0,73.0,0.5140845070422535
21,Boston,6.0,0.0,5.0,6.0,0.0,6.0,9.0,0.0,8.0,5.0,10.0,0.0,1.0,10.0,142.0,66.0,0.4647887323943662
22,Charlotte,1.0,6.0,1.0,3.0,10.0,6.0,4.0,7.0,0.0,9.0,3.0,1.0,7.0,5.0,142.0,63.0,0.44366197183098594
23,Cleveland,7.0,0.0,7.0,10.0,8.0,4.0,10.0,0.0,3.0,9.0,10.0,4.0,10.0,4.0,142.0,86.0,0.6056338028169014
24,Denver,1.0,8.0,1.0,9.0,5.0,0.0,2.0,5.0,4.0,2.0,3.0,7.0,3.0,10.0,142.0,60.0,0.4225352112676056
25,Detroit,5.0,10.0,10.0,10.0,10.0,2.0,9.0,6.0,5.0,4.0,10.0,9.0,4.0,4.0,142.0,98.0,0.6901408450704225
26,Fort Dix,10.0,5.0,5.0,4.0,6.0,3.0,2.0,8.0,7.0,6.0,0.0,7.0,7.0,9.0,142.0,79.0,0.5563380281690141
27,Harrisburg,3.0,6.0,9.0,7.0,4.0,9.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,5.0,142.0,56.0,0.39436619718309857
28,Indianapolis,8.0,7.0,7.0,2.0,2.0,10.0,7.0,1.0,3.0,2.0,2.0,10.0,5.0,8.0,142.0,74.0,0.5211267605633803
29,Kansas City,2.0,5.0,2.0,2.0,1.0,3.0,6.0,7.0,1.0,1.0,3.0,6.0,10.0,7.0,142.0,56.0,0.39436619718309857
30,Knoxville,10.0,8.0,9.0,0.0,2.0,2.0,5.0,3.0,7.0,3.0,6.0,10.0,5.0,4.0,142.0,74.0,0.5211267605633803
31,Lansing,4.0,0.0,2.0,8.0,10.0,1.0,2.0,8.0,1.0,0.0,6.0,3.0,10.0,8.0,142.0,63.0,0.44366197183098594
32,Louisville,1.0,8.0,5.0,9.0,7.0,2.0,5.0,1.0,1.0,7.0,5.0,9.0,1.0,8.0,142.0,69.0,0.4859154929577465
33,Milwaukee,3.0,5.0,5.0,1.0,7.0,10.0,4.0,4.0,7.0,0.0,3.0,8.0,5.0,10.0,142.0,72.0,0.5070422535211268
34,Minneapolis,5.0,2.0,7.0,7.0,0.0,8.0,1.0,4.0,4.0,7.0,7.0,5.0,1.0,5.0,142.0,63.0,0.44366197183098594
35,Nashville,2.0,6.0,10.0,10.0,4.0,8.0,10.0,7.0,4.0,4.0,5.0,2.0,2.0,4.0,142.0,78.0,0.5492957746478874
36,New Orleans,9.0,10.0,10.0,0.0,1.0,8.0,7.0,1.0,3.0,1.0,5.0,7.0,9.0,1.0,142.0,72.0,0.5070422535211268
37,Oklahoma City,1.0,8.0,9.0,3.0,3.0,8.0,6.0,5.0,5.0,3.0,1.0,7.0,7.0,3.0,142.0,69.0,0.4859154929577465
38,Pittsburgh,3.0,5.0,6.0,7.0,1.0,9.0,3.0,6.0,2.0,0.0,7.0,8.0,1.0,1.0,142.0,59.0,0.4154929577464789
39,Portland OR,2.0,8.0,8.0,6.0,1.0,2.0,9.0,5.0,5.0,1.0,7.0,9.0,1.0,2.0,142.0,66.0,0.4647887323943662
40,Salt Lake City,7.0,10.0,6.0,1.0,3.0,6.0,10.0,0.0,8.0,3.0,3.0,6.0,10.0,2.0,142.0,75.0,0.528169014084507
41,Seattle,1.0,4.0,0.0,5.0,9.0,8.0,5.0,3.0,2.0,4.0,10.0,1.0,2.0,0.0,142.0,54.0,0.38028169014084506
42,Springfield,1.0,8.0,4.0,0.0,8.0,2.0,0.0,3.0,4.0,7.0,4.0,10.0,6.0,2.0,142.0,59.0,0.4154929577464789
43,Albany,10.0,4.0,9.0,2.0,0.0,2.0,3.0,6.0,1.0,7.0,4.0,6.0,1.0,6.0,142.0,61.0,0.4295774647887324
44,Albuquerque,3.0,6.0,6.0,9.0,1.0,8.0,0.0,8.0,7.0,3.0,1.0,2.0,4.0,5.0,142.0,63.0,0.44366197183098594
45,Amarillo,0.0,0.0,10.0,9.0,3.0,2.0,9.0,8.0,0.0,5.0,2.0,8.0,1.0,4.0,142.0,61.0,0.4295774647887324
46,Anchorage,2.0,0.0,5.0,3.0,0.0,6.0,0.0,1.0,7.0,5.0,1.0,3.0,6.0,10.0,142.0,49.0,0.34507042253521125
47,Beckley,0.0,7.0,10.0,10.0,1.0,7.0,3.0,10.0,1.0,5.0,10.0,4.0,5.0,4.0,142.0,77.0,0.5422535211267606
48,Boise,0.0,1.0,2.0,10.0,8.0,1.0,4.0,1.0,0.0,6.0,5.0,0.0,0.0,2.0,142.0,40.0,0.28169014084507044
49,Buffalo,7.0,4.0,0.0,10.0,8.0,6.0,1.0,10.0,2.0,0.0,2.0,9.0,1.0,8.0,142.0,68.0,0.4788732394366197
50,Butte,8.0,1.0,2.0,5.0,4.0,3.0,6.0,3.0,9.0,10.0,9.0,9.0,7.0,0.0,142.0,76.0,0.5352112676056338
51,Des Moines,8.0,6.0,2.0,3.0,0.0,5.0,6.0,1.0,2.0,9.0,2.0,1.0,7.0,0.0,142.0,52.0,0.36619718309859156
52,El Paso,2.0,0.0,8.0,3.0,1.0,10.0,9.0,8.0,7.0,0.0,3.0,8.0,4.0,2.0,142.0,65.0,0.45774647887323944
53,Fargo,3.0,8.0,10.0,1.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,6.0,8.0,5.0,142.0,69.0,0.4859154929577465
54,Honolulu,5.0,8.0,7.0,6.0,10.0,3.0,1.0,1.0,5.0,9.0,1.0,10.0,1.0,5.0,142.0,72.0,0.5070422535211268
55,Jackson,2.0,5.0,1.0,2.0,9.0,10.0,3.0,8.0,5.0,7.0,5.0,2.0,0.0,0.0,142.0,59.0,0.4154929577464789
56,Little Rock,9.0,6.0,7.0,10.0,0.0,6.0,0.0,9.0,9.0,10.0,5.0,5.0,0.0,7.0,142.0,83.0,0.5845070422535211
57,Memphis,0.0,4.0,2.0,10.0,2.0,7.0,3.0,1.0,3.0,6.0,9.0,6.0,2.0,5.0,142.0,60.0,0.4225352112676056
58,Omaha,2.0,8.0,1.0,0.0,10.0,1.0,2.0,1.0,5.0,10.0,6.0,7.0,5.0,5.0,142.0,63.0,0.44366197183098594
59,Portland ME,6.0,4.0,7.0,8.0,5.0,0.0,6.0,5.0,5.0,10.0,3.0,3.0,9.0,5.0,142.0,76.0,0.5352112676056338
60,San Juan,0.0,2.0,6.0,8.0,10.0,2.0,8.0,8.0,3.0,4.0,5.0,3.0,7.0,0.0,142.0,66.0,0.4647887323943662
61,Shreveport,9.0,5.0,2.0,5.0,8.0,2.0,3.0,5.0,0.0,1.0,8.0,6.0,5.0,0.0,142.0,59.0,0.4154929577464789
62,Sioux Falls,6.0,9.0,3.0,1.0,3.0,4.0,9.0,7.0,9.0,9.0,6.0,4.0,0.0,10.0,142.0,80.0,0.5633802816901409
63,Spokane,8.0,10.0,10.0,3.0,0.0,7.0,2.0,5.0,10.0,7.0,2.0,2.0,8.0,2.0,142.0,76.0,0.5352112676056338
64,Syracuse,9.0,1.0,6.0,5.0,5.0,4.0,3.0,7.0,8.0,1.0,8.0,3.0,7.0,8.0,142.0,75.0,0.528169014084507
