,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
11,Montgomery,9.0,7.0,10.0,8.0,8.0,7.0,7.0,10.0,6.0,8.0,8.0,2.0,9.0,6.0,142.0,105.0,0.7394366197183099
12,New York,4.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,10.0,4.0,7.0,0.0,7.0,7.0,142.0,56.0,0.39436619718309857
13,Phoenix,2.0,9.0,5.0,9.0,7.0,6.0,3.0,7.0,4.0,8.0,6.0,0.0,1.0,6.0,142.0,73.0,0.5140845070422535
14,Raleigh,1.0,10.0,5.0,1.0,7.0,0.0,2.0,10.0,3.0,7.0,1.0,0.0,0.0,6.0,142.0,53.0,0.3732394366197183
15,Sacramento,6.0,9.0,2.0,2.0,3.0,10.0,8.0,3.0,0.0,9.0,10.0,8.0,4.0,8.0,142.0,82.0,0.5774647887323944
16,San Antonio,4.0,2.0,8.0,4.0,1.0,8.0,4.0,4.0,4.0,7.0,7.0,8.0,6.0,3.0,142.0,70.0,0.49295774647887325
17,San Diego,2.0,3.0,3.0,9.0,3.0,0.0,6.0,5.0,6.0,10.0,10.0,0.0,3.0,6.0,142.0,66.0,0.4647887323943662
18,San Jose,3.0,10.0,3.0,5.0,5.0,3.0,3.0,10.0,10.0,7.0,3.0,1.0,8.0,3.0,142.0,74.0,0.5211267605633803
19,St Louis,8.0,6.0,6.0,2.0,8.0,9.0,8.0,10.0,7.0,2.0,6.0,6.0,7.0,9.0,142.0,94.0,0.6619718309859155
20,Tampa,1.0,0.0,3.0,9.0,3.0,1.0,3.0,1.0,6.0,10.0,5.0,7.0,6.0,7.0,142.0,62.0,0.43661971830985913
21,Boston,10.0,3.0,1.0,5.0,1.0,9.0,7.0,5.0,10.0,5.0,2.0,4.0,3.0,6.0,142.0,71.0,0.5
22,Charlotte,9.0,3.0,1.0,5.0,6.0,1.0,4.0,7.0,3.0,3.0,4.0,5.0,8.0,3.0,142.0,62.0,0.43661971830985913
23,Cleveland,5.0,10.0,0.0,4.0,9.0,4.0,2.0,5.0,5.0,0.0,4.0,3.0,2.0,2.0,142.0,55.0,0.3873239436619718
24,Denver,10.0,9.0,0.0,5.0,5.0,3.0,7.0,9.0,10.0,5.0,6.0,5.0,0.0,4.0,142.0,78.0,0.5492957746478874
25,Detroit,2.0,0.0,6.0,8.0,7.0,4.0,1.0,4.0,3.0,3.0,3.0,0.0,4.0,10.0,142.0,55.0,0.3873239436619718
26,Fort Dix,5.0,3.0,7.0,7.0,8.0,0.0,4.0,8.0,6.0,3.0,3.0,6.0,1.0,7.0,142.0,68.0,0.4788732394366197
27,Harrisburg,2.0,3.0,9.0,8.0,1.0,4.0,6.0,2.0,10.0,6.0,7.0,7.0,10.0,2.0,142.0,77.0,0.5422535211267606
28,Indianapolis,6.0,9.0,10.0,4.0,2.0,1.0,7.0,0.0,2.0,6.0,10.0,1.0,0.0,7.0,142.0,65.0,0.45774647887323944
29,Kansas City,2.0,4.0,3.0,5.0,0.0,1.0,1.0,8.0,8.0,5.0,7.0,9.0,4.0,1.0,142.0,58.0,0.4084507042253521
30,Knoxville,3.0,0.0,7.0,8.0,6.0,0.0,0.0,10.0,2.0,0.0,1.0,8.0,3.0,8.0,142.0,56.0,0.39436619718309857
31,Lansing,6.0,10.0,9.0,7.0,5.0,1.0,2.0,4.0,8.0,9.0,9.0,8.0,2.0,8.0,142.0,88.0,0.6197183098591549
32,Louisville,5.0,0.0,8.0,6.0,1.0,7.0,4.0,2.0,8.0,10.0,5.0,4.0,3.0,3.0,142.0,66.0,0.4647887323943662
33,Milwaukee,3.0,3.0,8.0,7.0,4.0,10.0,2.0,4.0,5.0,1.0,8.0,7.0,0.0,8.0,142.0,70.0,0.49295774647887325
34,Minneapolis,0.0,5.0,7.0,1.0,2.0,2.0,0.0,4.0,9.0,8.0,4.0,0.0,7.0,7.0,142.0,56.0,0.39436619718309857
35,Nashville,6.0,7.0,0.0,1.0,6.0,4.0,10.0,10.0,8.0,5.0,3.0,3.0,4.0,1.0,142.0,68.0,0.4788732394366197
36,New Orleans,1.0,4.0,6.0,3.0,7.0,10.0,10.0,0.0,6.0,8.0,5.0,2.0,0.0,10.0,142.0,72.0,0.5070422535211268
37,Oklahoma City,4.0,2.0,1.0,4.0,8.0,1.0,9.0,5.0,0.0,9.0,2.0,10.0,3.0,2.0,142.0,60.0,0.4225352112676056
38,Pittsburgh,9.0,3.0,3.0,6.0,10.0,2.0,6.0,8.0,5.0,10.0,5.0,3.0,4.0,7.0,142.0,81.0,0.5704225352112676
39,Portland OR,6.0,7.0,6.0,2.0,9.0,1.0,9.0,8.0,4.0,5.0,4.0,2.0,3.0,7.0,142.0,73.0,0.5140845070422535
40,Salt Lake City,6.0,8.0,2.0,5.0,1.0,9.0,9.0,6.0,5.0,0.0,0.0,3.0,9.0,7.0,142.0,70.0,0.49295774647887325
41,Seattle,3.0,1.0,9.0,4.0,5.0,7.0,2.0,4.0,3.0,5.0,5.0,3.0,0.0,2.0,142.0,53.0,0.3732394366197183
42,Springfield,5.0,10.0,5.0,3.0,2.0,9.0,1.0,4.0,7.0,3.0,1.0,2.0,0.0,6.0,142.0,58.0,0.4084507042253521
43,Albany,6.0,10.0,9.0,0.0,6.0,5.0,3.0,5.0,8.0,1.0,8.0,0.0,1.0,0.0,142.0,62.0,0.43661971830985913
44,Albuquerque,4.0,5.0,0.0,8.0,3.0,1.0,2.0,1.0,0.0,6.0,4.0,10.0,5.0,10.0,142.0,59.0,0.4154929577464789
45,Amarillo,8.0,3.0,4.0,9.0,10.0,9.0,6.0,8.0,5.0,8.0,8.0,2.0,9.0,5.0,142.0,94.0,0.6619718309859155
46,Anchorage,2.0,10.0,2.0,8.0,6.0,3.0,2.0,10.0,3.0,4.0,1.0,8.0,10.0,3.0,142.0,72.0,0.5070422535211268
47,Beckley,1.0,10.0,7.0,5.0,0.0,6.0,5.0,3.0,1.0,3.0,1.0,2.0,9.0,2.0,142.0,55.0,0.3873239436619718
48,Boise,5.0,3.0,5.0,5.0,1.0,6.0,9.0,9.0,9.0,9.0,0.0,9.0,4.0,6.0,142.0,80.0,0.5633802816901409
49,Buffalo,6.0,3.0,7.0,2.0,2.0,7.0,1.0,8.0,0.0,8.0,8.0,0.0,3.0,1.0,142.0,56.0,0.39436619718309857
50,Butte,2.0,1.0,1.0,2.0,0.0,10.0,5.0,7.0,0.0,10.0,7.0,4.0,10.0,3.0,142.0,62.0,0.43661971830985913
51,Des Moines,10.0,7.0,1.0,6.0,10.0,3.0,8.0,0.0,2.0,0.0,5.0,8.0,2.0,4.0,142.0,66.0,0.4647887323943662
52,El Paso,0.0,4.0,10.0,3.0,7.0,8.0,6.0,8.0,5.0,5.0,8.0,10.0,3.0,6.0,142.0,83.0,0.5845070422535211
53,Fargo,3.0,7.0,4.0,3.0,1.0,1.0,2.0,10.0,4.0,3.0,7.0,9.0,5.0,3.0,142.0,62.0,0.43661971830985913
54,Honolulu,5.0,10.0,0.0,1.0,10.0,2.0,9.0,9.0,9.0,9.0,1.0,4.0,8.0,9.0,142.0,86.0,0.6056338028169014
55,Jackson,3.0,2.0,3.0,9.0,0.0,8.0,4.0,1.0,1.0,5.0,7.0,0.0,0.0,8.0,142.0,51.0,0.3591549295774648
56,Little Rock,0.0,9.0,9.0,8.0,8.0,4.0,3.0,9.0,2.0,1.0,9.0,7.0,6.0,5.0,142.0,80.0,0.5633802816901409
57,Memphis,5.0,9.0,5.0,5.0,7.0,10.0,9.0,7.0,5.0,10.0,5.0,6.0,10.0,4.0,142.0,97.0,0.6830985915492958
58,Omaha,5.0,6.0,1.0,1.0,9.0,6.0,9.0,3.0,9.0,8.0,8.0,0.0,8.0,2.0,142.0,75.0,0.528169014084507
59,Portland ME,6.0,8.0,5.0,4.0,5.0,6.0,0.0,0.0,3.0,9.0,10.0,8.0,1.0,9.0,142.0,74.0,0.5211267605633803
60,San Juan,2.0,8.0,2.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,1.0,6.0,3.0,2.0,142.0,57.0,0.4014084507042254
61,Shreveport,1.0,8.0,2.0,6.0,6.0,3.0,7.0,1.0,9.0,5.0,7.0,4.0,9.0,7.0,142.0,75.0,0.528169014084507
62,Sioux Falls,0.0,6.0,3.0,7.0,2.0,8.0,7.0,0.0,5.0,1.0,4.0,6.0,3.0,0.0,142.0,52.0,0.36619718309859156
63,Spokane,5.0,0.0,2.0,8.0,7.0,8.0,8.0,0.0,1.0,7.0,8.0,6.0,0.0,10.0,142.0,70.0,0.49295774647887325
64,Syracuse,9.0,0.0,7.0,4.0,1.0,3.0,7.0,4.0,3.0,3.0,5.0,6.0,2.0,0.0,142.0,54.0,0.38028169014084506
