,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
20,Tampa,10.0,3.0,6.0,3.0,3.0,4.0,1.0,7.0,9.0,10.0,3.0,0.0,10.0,10.0,142.0,79.0,0.5563380281690141
21,Boston,2.0,8.0,0.0,5.0,5.0,9.0,10.0,3.0,4.0,0.0,4.0,10.0,10.0,3.0,142.0,73.0,0.5140845070422535
22,Charlotte,2.0,1.0,5.0,6.0,4.0,9.0,3.0,4.0,7.0,10.0,6.0,5.0,6.0,6.0,142.0,74.0,0.5211267605633803
23,Cleveland,4.0,0.0,1.0,1.0,9.0,4.0,9.0,1.0,0.0,7.0,6.0,3.0,10.0,7.0,142.0,62.0,0.43661971830985913
24,Denver,10.0,5.0,5.0,6.0,8.0,0.0,1.0,5.0,0.0,6.0,9.0,1.0,10.0,4.0,142.0,70.0,0.49295774647887325
25,Detroit,8.0,6.0,10.0,2.0,0.0,9.0,6.0,4.0,3.0,0.0,8.0,5.0,6.0,10.0,142.0,77.0,0.5422535211267606
26,Fort Dix,2.0,10.0,2.0,5.0,1.0,0.0,4.0,9.0,6.0,4.0,7.0,6.0,10.0,9.0,142.0,75.0,0.528169014084507
27,Harrisburg,1.0,4.0,8.0,6.0,9.0,3.0,0.0,7.0,4.0,5.0,1.0,2.0,8.0,10.0,142.0,68.0,0.4788732394366197
28,Indianapolis,4.0,1.0,8.0,6.0,10.0,10.0,7.0,2.0,2.0,10.0,0.0,8.0,5.0,4.0,142.0,77.0,0.5422535211267606
29,Kansas City,6.0,6.0,5.0,6.0,8.0,9.0,5.0,10.0,8.0,5.0,3.0,1.0,8.0,3.0,142.0,83.0,0.5845070422535211
30,Knoxville,1.0,5.0,8.0,5.0,3.0,2.0,4.0,4.0,1.0,9.0,5.0,2.0,4.0,8.0,142.0,61.0,0.4295774647887324
31,Lansing,0.0,0.0,3.0,4.0,8.0,3.0,6.0,7.0,7.0,0.0,0.0,7.0,6.0,10.0,142.0,61.0,0.4295774647887324
32,Louisville,9.0,1.0,5.0,6.0,9.0,9.0,3.0,4.0,6.0,0.0,6.0,0.0,1.0,8.0,142.0,67.0,0.47183098591549294
33,Milwaukee,10.0,7.0,9.0,10.0,4.0,1.0,9.0,6.0,8.0,1.0,8.0,1.0,3.0,3.0,142.0,80.0,0.5633802816901409
34,Minneapolis,0.0,0.0,4.0,4.0,0.0,0.0,7.0,6.0,3.0,7.0,6.0,4.0,10.0,9.0,142.0,60.0,0.4225352112676056
35,Nashville,7.0,1.0,6.0,10.0,3.0,9.0,7.0,2.0,0.0,7.0,10.0,3.0,2.0,10.0,142.0,77.0,0.5422535211267606
36,New Orleans,5.0,10.0,4.0,7.0,1.0,1.0,9.0,4.0,9.0,4.0,8.0,0.0,6.0,0.0,142.0,68.0,0.4788732394366197
37,Oklahoma City,5.0,8.0,5.0,10.0,7.0,4.0,9.0,10.0,5.0,7.0,1.0,1.0,8.0,6.0,142.0,86.0,0.6056338028169014
38,Pittsburgh,3.0,3.0,7.0,7.0,5.0,4.0,9.0,6.0,8.0,8.0,3.0,10.0,7.0,5.0,142.0,85.0,0.5985915492957746
39,Portland OR,10.0,3.0,7.0,7.0,6.0,1.0,8.0,0.0,0.0,10.0,5.0,10.0,1.0,4.0,142.0,72.0,0.5070422535211268
40,Salt Lake City,10.0,6.0,10.0,5.0,4.0,0.0,2.0,1.0,6.0,8.0,9.0,10.0,2.0,0.0,142.0,73.0,0.5140845070422535
41,Seattle,7.0,10.0,9.0,3.0,9.0,4.0,7.0,9.0,10.0,6.0,0.0,0.0,9.0,5.0,142.0,88.0,0.6197183098591549
42,Springfield,10.0,3.0,7.0,9.0,10.0,6.0,5.0,9.0,3.0,4.0,3.0,0.0,10.0,6.0,142.0,85.0,0.5985915492957746
43,Albany,0.0,5.0,4.0,8.0,8.0,10.0,7.0,6.0,10.0,10.0,5.0,7.0,3.0,2.0,142.0,85.0,0.5985915492957746
44,Albuquerque,4.0,1.0,5.0,2.0,3.0,0.0,9.0,3.0,3.0,2.0,9.0,6.0,4.0,5.0,142.0,56.0,0.39436619718309857
45,Amarillo,3.0,10.0,4.0,0.0,7.0,2.0,2.0,0.0,7.0,10.0,1.0,9.0,2.0,10.0,142.0,67.0,0.47183098591549294
46,Anchorage,5.0,1.0,2.0,2.0,10.0,10.0,4.0,2.0,4.0,6.0,0.0,0.0,7.0,9.0,142.0,62.0,0.43661971830985913
47,Beckley,10.0,10.0,9.0,5.0,1.0,0.0,3.0,5.0,3.0,3.0,3.0,9.0,9.0,6.0,142.0,76.0,0.5352112676056338
48,Boise,9.0,9.0,0.0,3.0,2.0,5.0,3.0,9.0,6.0,8.0,6.0,0.0,0.0,6.0,142.0,66.0,0.4647887323943662
49,Buffalo,1.0,8.0,9.0,3.0,0.0,0.0,3.0,9.0,10.0,3.0,1.0,3.0,8.0,2.0,142.0,60.0,0.4225352112676056
50,Butte,0.0,10.0,1.0,1.0,1.0,9.0,9.0,1.0,4.0,3.0,1.0,5.0,10.0,3.0,142.0,58.0,0.4084507042253521
51,Des Moines,8.0,5.0,1.0,6.0,6.0,0.0,5.0,9.0,6.0,10.0,2.0,0.0,5.0,10.0,142.0,73.0,0.5140845070422535
52,El Paso,5.0,2.0,7.0,3.0,6.0,1.0,6.0,2.0,8.0,9.0,0.0,2.0,10.0,7.0,142.0,68.0,0.4788732394366197
53,Fargo,9.0,7.0,2.0,5.0,5.0,4.0,8.0,5.0,5.0,9.0,10.0,0.0,10.0,1.0,142.0,80.0,0.5633802816901409
54,Honolulu,4.0,8.0,3.0,2.0,5.0,5.0,6.0,5.0,8.0,3.0,2.0,2.0,2.0,2.0,142.0,57.0,0.4014084507042254
55,Jackson,3.0,4.0,0.0,3.0,7.0,8.0,6.0,10.0,9.0,1.0,0.0,8.0,2.0,0.0,142.0,61.0,0.4295774647887324
56,Little Rock,7.0,7.0,5.0,4.0,1.0,8.0,4.0,3.0,10.0,9.0,5.0,7.0,4.0,10.0,142.0,84.0,0.5915492957746479
57,Memphis,8.0,1.0,9.0,10.0,1.0,9.0,8.0,1.0,2.0,0.0,9.0,5.0,7.0,2.0,142.0,72.0,0.5070422535211268
58,Omaha,5.0,2.0,0.0,8.0,5.0,6.0,8.0,3.0,7.0,4.0,6.0,5.0,1.0,2.0,142.0,62.0,0.43661971830985913
59,Portland ME,3.0,3.0,2.0,0.0,5.0,3.0,5.0,4.0,1.0,10.0,3.0,0.0,5.0,7.0,142.0,51.0,0.3591549295774648
60,San Juan,6.0,6.0,2.0,2.0,5.0,2.0,10.0,9.0,7.0,7.0,2.0,0.0,1.0,5.0,142.0,64.0,0.4507042253521127
61,Shreveport,0.0,1.0,6.0,6.0,1.0,3.0,4.0,10.0,3.0,2.0,6.0,1.0,3.0,5.0,142.0,51.0,0.3591549295774648
62,Sioux Falls,8.0,7.0,5.0,5.0,0.0,6.0,5.0,4.0,10.0,7.0,3.0,2.0,8.0,4.0,142.0,74.0,0.5211267605633803
63,Spokane,10.0,2.0,2.0,10.0,0.0,6.0,2.0,3.0,3.0,7.0,2.0,6.0,7.0,8.0,142.0,68.0,0.4788732394366197
64,Syracuse,9.0,3.0,0.0,2.0,2.0,3.0,3.0,6.0,3.0,1.0,3.0,7.0,10.0,10.0,142.0,62.0,0.43661971830985913
